"","original_title","id","Drama","Comedy","Thriller","Action","Romance","Adventure","Crime","Science Fiction","Horror","Family","Fantasy","Mystery","Animation","History","War","Music","Documentary","Western","Foreign","TV Movie"
"72","Mighty Morphin Power Rangers: The Movie",9070,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"73","Mute Witness",48787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"74","The Net",1642,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"75","Party Girl",36196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","The Prophecy",11980,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"77","The Scarlet Letter",10533,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"78","Showgirls",10802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Smoke",10149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Species",9348,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"81","Strange Days",281,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"82","The Tie That Binds",79593,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Under Siege 2: Dark Territory",3512,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","A Walk in the Clouds",9560,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Waterworld",9804,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Утомлённые солнцем",50797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Before Sunrise",76,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Billy Madison",11017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Boys on the Side",9382,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Clerks",2292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Don Juan DeMarco",1909,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Disclosure",8984,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"93","Dumb and Dumber",8467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Ed Wood",522,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"95","Hideaway",27303,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Hoop Dreams",14275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"97","Heavenly Creatures",1024,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"98","Houseguest",17207,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"99","Interview with the Vampire",628,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"100","Jefferson in Paris",87729,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Junior",6280,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"102","Como agua para chocolate",18183,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Legends of the Fall",4476,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"104","Losing Isaiah",28313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Frankenstein",3036,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"106","Miami Rhapsody",17402,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Nell",1945,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Natural Born Killers",241,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Outbreak",6950,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"110","Léon",101,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","The Perez Family",63020,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Pulp Fiction",680,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Pushing Hands",25296,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","The Quick and the Dead",12106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"115","Roommates",161495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Prêt-à-Porter",3586,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","The Swan Princess",22586,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"118","The Specialist",2636,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Stargate",2164,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"120","The Santa Clause",11395,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"121","The Shawshank Redemption",278,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Tank Girl",9067,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"123","Star Trek: Generations",193,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"124","Tales from the Hood",25066,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"125","What's Eating Gilbert Grape",1587,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Virtuosity",9271,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"127","While You Were Sleeping",2064,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Muriel's Wedding",236,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Ace Ventura: Pet Detective",3049,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"130","Bitter Moon",10497,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Clear and Present Danger",9331,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","The Client",10731,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"133","The Crow",9495,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"134","The Flintstones",888,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"135","Forrest Gump",13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Four Weddings and a Funeral",712,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","I Love Trouble",10879,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","The Lion King",8587,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"139","Little Buddha",1689,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"140","New Nightmare",11596,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"141","The Mask",854,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"142","The Naked Gun 33⅓: The Final Insult",36593,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Reality Bites",2788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","Red Rock West",10427,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","Speed",1637,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Timecop",8831,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"147","True Lies",36955,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Wyatt Earp",12160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"149","A Low Down Dirty Shame",26352,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","Jason's Lyric",22067,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Street Fighter",11667,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Highlander III: The Sorcerer",8011,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"153","In the Mouth of Madness",2654,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"154","The Age of Innocence",10436,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","The Air Up There",46094,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"156","Beverly Hills Cop III",306,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Body Snatchers",4722,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"158","A Bronx Tale",1607,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Calendar Girl",117553,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Carlito's Way",6075,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Cliffhanger",9350,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Color of Night",2124,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"163","Dazed and Confused",9571,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Demolition Man",9739,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"165","For Love or Money",9024,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","The Firm",37233,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"167","Free Willy",1634,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"168","The Fugitive",5503,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"169","Geronimo: An American Legend",35588,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"170","Hard Target",2019,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Hot Shots! Part Deux",9255,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"172","In the Line of Fire",9386,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"173","In the Name of the Father",7984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Jurassic Park",329,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"175","Kalifornia",10909,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","Killing Zoe",507,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Last Action Hero",9593,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"178","Manhattan Murder Mystery",10440,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"179","Menace II Society",9516,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Executive Decision",2320,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Mrs. Doubtfire",788,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"182","The Next Karate Kid",11231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","No Escape",10447,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"184","A Perfect World",9559,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Philadelphia",9800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","The Piano",713,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","Poetic Justice",8291,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","The Ref",10872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","The Remains of the Day",1245,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Renaissance Man",11858,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"191","RoboCop 3",5550,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"192","Robin Hood: Men in Tights",8005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Romeo Is Bleeding",2088,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","Ruby in Paradise",47889,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Rudy",14534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","Schindler's List",424,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"197","Serial Mom",11592,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"198","The Shadow",8850,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"199","Sleepless in Seattle",858,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","Sliver",867,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Blade Runner",78,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"202","So I Married an Axe Murderer",10442,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","Super Mario Bros.",9607,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"204","Surviving the Game",17585,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","Terminal Velocity",9057,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","The Nightmare Before Christmas",9479,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"207","The Three Musketeers",10057,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Tombstone",11969,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"209","True Romance",319,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","The Pagemaster",15139,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
"211","Home Alone",771,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"212","Ghost",251,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"213","Aladdin",812,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"214","Terminator 2: Judgment Day",280,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"215","Dances with Wolves",581,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"216","Batman",268,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"217","The Silence of the Lambs",274,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Beauty and the Beast",10020,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
"219","Pretty Woman",114,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","Fargo",275,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Hellraiser: Bloodline",8766,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"222","Primal Fear",1592,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"223","Girl 6",61752,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","Courage Under Fire",10684,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"225","Mission: Impossible",954,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","DragonHeart",8840,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"227","James and the Giant Peach",10539,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"228","Faithful",47502,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","Space Jam",2300,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"230","Mrs. Winterbourne",40001,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","The Quest",9103,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232","Oliver & Company",12233,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"233","Flipper",36355,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"234","Le Hussard sur le toit",11876,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"235","The Craft",9100,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"236","Original Gangstas",40507,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"237","The Rock",9802,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Twister",664,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239","The Arrival",10547,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"240","The Phantom",9826,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Striptease",9879,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Jack",7095,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"243","Trainspotting",627,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","Independence Day",602,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"245","The Fan",9566,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"246","The Hunchback of Notre Dame",10545,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"247","The Cable Guy",9894,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","Kingpin",11543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249","Eraser",9268,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"250","The Nutty Professor",9327,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"251","Daylight",11228,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252","The Frighteners",10779,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"253","Lone Star",26748,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"254","Phenomenon",9294,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"255","She's the One",11363,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256","A Time to Kill",1645,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"257","Fled",18550,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
